,name,Lon,Lat,Max Temp,Wind Speed,Humidity,Cloud Cover
0,Caravelas,-39.25,-17.71,73.98,15.84,90.0,63.0
0,Eenhana,16.33,-17.47,61.41,6.58,37.0,0.0
0,Prado,-39.22,-17.34,75.11,9.82,92.0,89.0
0,Mareeba,145.43,-17.0,70.0,3.2,94.0,66.0
0,Faanui,-151.75,-16.48,81.72,14.03,74.0,29.0
0,Angoche,39.91,-16.23,74.61,9.91,77.0,40.0
0,Mananara,49.77,-16.17,72.93,4.45,90.0,44.0
0,Senanga,23.27,-16.12,63.73,4.34,56.0,0.0
0,Belmonte,-38.88,-15.86,80.6,9.17,78.0,20.0
0,Kununurra,128.73,-15.77,60.8,3.36,87.0,0.0
0,Mossamedes,12.15,-15.2,81.72,6.93,50.0,0.0
0,Lubango,13.49,-14.92,58.78,4.97,57.0,0.0
0,Port Keats,129.55,-14.25,68.14,7.07,54.0,0.0
0,Mitsamiouli,43.28,-11.38,81.97,11.7,76.0,1.0
0,Masuguru,38.42,-11.37,71.85,4.63,87.0,54.0
0,Samarai,150.67,-10.62,79.29,17.69,79.0,54.0
0,Kirakira,161.92,-10.45,80.08,6.87,82.0,37.0
0,Kupang,123.58,-10.17,77.05,11.21,83.0,7.0
0,Huarmey,-78.15,-10.07,74.5,9.91,68.0,66.0
0,Ariquemes,-63.04,-9.91,74.59,5.88,81.0,99.0
0,Alta Floresta,-56.09,-9.88,82.4,5.82,74.0,40.0
0,Soe,124.28,-9.86,63.61,4.83,100.0,16.0
0,Atuona,-139.03,-9.8,80.94,20.02,76.0,60.0
0,Miracema do Tocantins,-48.4,-9.56,77.63,3.8,87.0,97.0
0,Mporokoso,30.12,-9.37,62.4,8.57,82.0,0.0
0,Daru,143.21,-9.08,79.03,14.5,80.0,100.0
0,Maragogi,-35.22,-9.01,78.53,7.07,83.0,99.0
0,Airai,125.41,-8.93,55.65,2.95,85.0,5.0
0,Auki,160.7,-8.77,81.52,2.26,78.0,8.0
0,Merauke,140.33,-8.47,78.12,12.17,82.0,100.0
0,São Joaquim do Monte,-35.8,-8.43,70.66,7.09,93.0,100.0
0,Ambulu,113.61,-8.35,76.53,3.29,90.0,27.0
0,Kerema,145.78,-7.96,77.34,5.14,87.0,75.0
0,Chicama,-79.15,-7.84,71.6,11.41,83.0,64.0
0,Gondanglegi,112.01,-7.75,77.29,10.09,87.0,52.0
0,Gombong,109.51,-7.61,76.26,2.57,93.0,81.0
0,Pitimbu,-34.81,-7.47,82.4,9.17,78.0,20.0
0,Maneromango,38.78,-7.2,78.8,3.91,88.0,75.0
0,Bellavista,-76.59,-7.06,82.4,10.29,74.0,40.0
0,Kasongo-Lunda,16.82,-6.47,73.13,1.01,73.0,26.0
0,Mpanda,31.04,-6.37,65.71,2.08,93.0,36.0
0,Jacareacanga,-57.75,-6.22,83.88,1.92,78.0,30.0
0,Tual,132.75,-5.67,82.62,18.99,78.0,23.0
0,Upanema,-37.26,-5.64,84.2,8.05,79.0,75.0
0,Sechura,-80.82,-5.56,82.08,14.32,53.0,1.0
0,Porgera,143.2,-5.47,41.0,0.56,100.0,100.0
0,Luebo,21.42,-5.35,74.44,3.22,76.0,0.0
0,Lusambo,23.45,-4.97,73.63,2.1,84.0,8.0
0,Nova Olinda do Norte,-59.09,-3.89,80.8,1.92,93.0,88.0
0,Codajás,-62.06,-3.84,82.35,3.33,84.0,11.0
0,Payo,103.64,-3.75,73.63,2.19,94.0,98.0
0,Namatanai,152.43,-3.67,81.0,4.29,75.0,0.0
0,Amahai,128.92,-3.33,79.29,4.29,84.0,61.0
0,Itarema,-39.92,-2.92,79.43,9.44,81.0,26.0
0,Acaraú,-40.12,-2.89,80.01,9.42,81.0,18.0
0,Manggar,108.27,-2.88,83.43,7.85,80.0,100.0
0,Nioki,17.68,-2.72,75.97,2.19,87.0,3.0
0,Pangkalanbuun,111.62,-2.68,76.41,2.08,96.0,95.0
0,Gamba,10.0,-2.65,78.67,4.59,91.0,91.0
0,Kavieng,150.8,-2.57,82.85,6.58,73.0,0.0
0,Sampit,112.95,-2.53,76.08,2.04,98.0,22.0
0,Lorengau,147.27,-2.02,81.18,2.06,79.0,9.0
0,Omboué,9.26,-1.57,79.72,5.3,90.0,100.0
0,Padang,100.35,-0.95,78.28,7.78,81.0,100.0
0,Sorong,131.25,-0.88,79.41,8.72,85.0,46.0
0,Manokwari,134.08,-0.87,80.02,4.27,74.0,62.0
0,Puerto Ayora,-90.35,-0.74,86.0,11.41,66.0,20.0
0,Port-Gentil,8.78,-0.72,82.4,6.93,88.0,40.0
0,Hithadhoo,73.08,-0.6,84.51,14.76,78.0,5.0
0,Loa Janan,117.09,-0.58,75.9,0.29,97.0,83.0
